benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
201,54,054_position.jpg,position,ASP-A02-B04-P03-R,,ASP-A02-B04-P03-R,ASP-A02-B04-P03-R,,ASP-A02-B04-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,272,,
202,168,168_item.jpg,item,ASI-R49R89|36,,ASI-R49R89|36,ASI-R49R89|36,,,,ASI-R49R89|36,ASI-R49R89|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,568,,
203,261,261_multi_mixed.jpg,multi_mixed,ASI-34UH3B|18|ASI-L7ZF5G|10,X0021,X0021|ASI-34UH3B|18|ASI-L7ZF5G|10,ASI-34UH3B|18,,,,ASI-34UH3B|18;ASI-L7ZF5G|10,ASI-34UH3B|18,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,470,,status=RESOLVED;error=null
204,55,055_position.jpg,position,ASP-A02-B05-P01-L,,ASP-A02-B05-P01-L,ASP-A02-B05-P01-L,,ASP-A02-B05-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,247,,
205,169,169_item.jpg,item,ASI-BFUQ3R|15,,ASI-BFUQ3R|15,ASI-BFUQ3R|15,,,,ASI-BFUQ3R|15,ASI-BFUQ3R|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,435,,
206,291,291_multi_false.jpg,multi_false,,FAKE0076|X0077|BAD0078,BAD0078|X0077|FAKE0076,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,474,,
207,170,170_item.jpg,item,ASI-Z8Y5XY|36,,ASI-Z8Y5XY|36,ASI-Z8Y5XY|36,,,,ASI-Z8Y5XY|36,ASI-Z8Y5XY|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,390,,
208,56,056_position.jpg,position,ASP-A02-B05-P01-R,,ASP-A02-B05-P01-R,ASP-A02-B05-P01-R,,ASP-A02-B05-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,333,,
209,171,171_item.jpg,item,ASI-TVSQHN|18,,ASI-TVSQHN|18,ASI-TVSQHN|18,,,,ASI-TVSQHN|18,ASI-TVSQHN|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,290,,
210,231,231_multi_true.jpg,multi_true,ASP-A04-B03-P02-R|ASI-KJSMHB|5|ASP-A04-B03-P03-L,,ASP-A04-B03-P03-L|ASP-A04-B03-P02-R|ASI-KJSMHB|5,ASI-KJSMHB|5,,ASP-A04-B03-P02-R,,ASI-KJSMHB|5,ASI-KJSMHB|5,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,534,,status=RESOLVED;error=null
211,172,172_item.jpg,item,ASI-HMNP8T|72,,ASI-HMNP8T|72,ASI-HMNP8T|72,,,,ASI-HMNP8T|72,ASI-HMNP8T|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,268,,
212,262,262_multi_mixed.jpg,multi_mixed,ASP-A05-B03-P02-R|ASI-53F3VX|10,BAD0022,BAD0022|ASI-53F3VX|10|ASP-A05-B03-P02-R,ASI-53F3VX|10,,ASP-A05-B03-P02-R,,ASI-53F3VX|10,ASI-53F3VX|10,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,464,,status=RESOLVED;error=null
213,57,057_position.jpg,position,ASP-A02-B05-P02-L,,ASP-A02-B05-P02-L,ASP-A02-B05-P02-L,,ASP-A02-B05-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,244,,
214,173,173_item.jpg,item,ASI-UGNUQZ|6,,ASI-UGNUQZ|6,ASI-UGNUQZ|6,,,,ASI-UGNUQZ|6,ASI-UGNUQZ|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,239,,
215,292,292_multi_false.jpg,multi_false,,POSX0079|FAKE0080|X0081,X0081|POSX0079|FAKE0080,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,506,,
216,58,058_position.jpg,position,ASP-A02-B05-P02-R,,ASP-A02-B05-P02-R,ASP-A02-B05-P02-R,,ASP-A02-B05-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,328,,
217,174,174_item.jpg,item,ASI-VAJTCD|60,,ASI-VAJTCD|60,ASI-VAJTCD|60,,,,ASI-VAJTCD|60,ASI-VAJTCD|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,234,,
218,175,175_item.jpg,item,ASI-UJ9GAU|40,,ASI-UJ9GAU|40,ASI-UJ9GAU|40,,,,ASI-UJ9GAU|40,ASI-UJ9GAU|40,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,532,,
219,232,232_multi_true.jpg,multi_true,ASP-A04-B03-P03-R|ASI-AYRWBM|12|ASP-A04-B04-P01-L,,ASP-A04-B04-P01-L|ASP-A04-B03-P03-R|ASI-AYRWBM|12,ASI-AYRWBM|12,,ASP-A04-B03-P03-R,,ASI-AYRWBM|12,ASI-AYRWBM|12,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,406,,status=RESOLVED;error=null
220,59,059_position.jpg,position,ASP-A02-B05-P03-L,,ASP-A02-B05-P03-L,ASP-A02-B05-P03-L,,ASP-A02-B05-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,285,,
221,176,176_item.jpg,item,ASI-86XMDS|40,,ASI-86XMDS|40,ASI-86XMDS|40,,,,ASI-86XMDS|40,ASI-86XMDS|40,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,447,,
222,263,263_multi_mixed.jpg,multi_mixed,ASI-XLEHNY|20|ASI-KRGKSN|6,POSX0023,POSX0023|ASI-XLEHNY|20|ASI-KRGKSN|6,ASI-XLEHNY|20,,,,ASI-XLEHNY|20;ASI-KRGKSN|6,ASI-XLEHNY|20,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,442,,status=RESOLVED;error=null
223,177,177_item.jpg,item,ASI-HE39ED|5,,ASI-HE39ED|5,ASI-HE39ED|5,,,,ASI-HE39ED|5,ASI-HE39ED|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,410,,
224,60,060_position.jpg,position,ASP-A02-B05-P03-R,,ASP-A02-B05-P03-R,ASP-A02-B05-P03-R,,ASP-A02-B05-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,263,,
225,178,178_item.jpg,item,ASI-KVFRH4|96,,ASI-KVFRH4|96,ASI-KVFRH4|96,,,,ASI-KVFRH4|96,ASI-KVFRH4|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,249,,
226,293,293_multi_false.jpg,multi_false,,BAD0082|POSX0083|FAKE0084,FAKE0084|POSX0083|BAD0082,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,579,,
227,61,061_position.jpg,position,ASP-A03-B01-P01-L,,ASP-A03-B01-P01-L,ASP-A03-B01-P01-L,,ASP-A03-B01-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,275,,
228,179,179_item.jpg,item,ASI-Q266V5|15,,ASI-Q266V5|15,ASI-Q266V5|15,,,,ASI-Q266V5|15,ASI-Q266V5|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,242,,
229,233,233_multi_true.jpg,multi_true,ASP-A04-B04-P01-R|ASI-DJ4HE8|36|ASP-A04-B04-P02-L,,ASP-A04-B04-P02-L|ASP-A04-B04-P01-R|ASI-DJ4HE8|36,ASI-DJ4HE8|36,,ASP-A04-B04-P01-R,,ASI-DJ4HE8|36,ASI-DJ4HE8|36,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,435,,status=RESOLVED;error=null
230,180,180_item.jpg,item,ASI-DGPPSF|6,,ASI-DGPPSF|6,ASI-DGPPSF|6,,,,ASI-DGPPSF|6,ASI-DGPPSF|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,218,,
231,62,062_position.jpg,position,ASP-A03-B01-P01-R,,ASP-A03-B01-P01-R,ASP-A03-B01-P01-R,,ASP-A03-B01-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,251,,
232,181,181_item.jpg,item,ASI-RMELA4|36,,ASI-RMELA4|36,ASI-RMELA4|36,,,,ASI-RMELA4|36,ASI-RMELA4|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,430,,
233,264,264_multi_mixed.jpg,multi_mixed,ASP-A05-B03-P03-L|ASI-KEM976|72,FAKE0024,FAKE0024|ASP-A05-B03-P03-L|ASI-KEM976|72,ASI-KEM976|72,,ASP-A05-B03-P03-L,,ASI-KEM976|72,ASI-KEM976|72,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,424,,status=RESOLVED;error=null
234,63,063_position.jpg,position,ASP-A03-B01-P02-L,,ASP-A03-B01-P02-L,ASP-A03-B01-P02-L,,ASP-A03-B01-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,555,,
235,182,182_item.jpg,item,ASI-8UCQUU|36,,ASI-8UCQUU|36,ASI-8UCQUU|36,,,,ASI-8UCQUU|36,ASI-8UCQUU|36,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,249,,
236,294,294_multi_false.jpg,multi_false,,X0085|BAD0086|POSX0087,POSX0087|BAD0086|X0085,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,489,,
237,183,183_item.jpg,item,ASI-EQSN5H|60,,ASI-EQSN5H|60,ASI-EQSN5H|60,,,,ASI-EQSN5H|60,ASI-EQSN5H|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,282,,
238,64,064_position.jpg,position,ASP-A03-B01-P02-R,,ASP-A03-B01-P02-R,ASP-A03-B01-P02-R,,ASP-A03-B01-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,409,,
239,184,184_item.jpg,item,ASI-QKTKED|6,,ASI-QKTKED|6,ASI-QKTKED|6,,,,ASI-QKTKED|6,ASI-QKTKED|6,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,221,,
240,234,234_multi_true.jpg,multi_true,ASP-A04-B04-P02-R|ASI-ZG6QCV|36|ASP-A04-B04-P03-L,,ASP-A04-B04-P03-L|ASP-A04-B04-P02-R|ASI-ZG6QCV|36,ASI-ZG6QCV|36,,ASP-A04-B04-P02-R,,ASI-ZG6QCV|36,ASI-ZG6QCV|36,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,432,,status=RESOLVED;error=null
241,185,185_item.jpg,item,ASI-VU6H7V|24,,ASI-VU6H7V|24,ASI-VU6H7V|24,,,,ASI-VU6H7V|24,ASI-VU6H7V|24,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,256,,
242,265,265_multi_mixed.jpg,multi_mixed,ASI-WWK6E8|36|ASI-VTDYEV|36,X0025,X0025|ASI-WWK6E8|36|ASI-VTDYEV|36,ASI-WWK6E8|36,,,,ASI-WWK6E8|36;ASI-VTDYEV|36,ASI-WWK6E8|36,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,387,,status=RESOLVED;error=null
243,65,065_position.jpg,position,ASP-A03-B01-P03-L,,ASP-A03-B01-P03-L,ASP-A03-B01-P03-L,,ASP-A03-B01-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,564,,
244,186,186_item.jpg,item,ASI-T96FC5|18,,ASI-T96FC5|18,ASI-T96FC5|18,,,,ASI-T96FC5|18,ASI-T96FC5|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,293,,
245,295,295_multi_false.jpg,multi_false,,FAKE0088|X0089|BAD0090,BAD0090|X0089|FAKE0088,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,462,,
246,66,066_position.jpg,position,ASP-A03-B01-P03-R,,ASP-A03-B01-P03-R,ASP-A03-B01-P03-R,,ASP-A03-B01-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,364,,
247,187,187_item.jpg,item,ASI-SBFQBT|72,,ASI-SBFQBT|72,ASI-SBFQBT|72,,,,ASI-SBFQBT|72,ASI-SBFQBT|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,352,,
248,188,188_item.jpg,item,ASI-CM86TM|72,,ASI-CM86TM|72,ASI-CM86TM|72,,,,ASI-CM86TM|72,ASI-CM86TM|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,444,,
249,235,235_multi_true.jpg,multi_true,ASP-A04-B04-P03-R|ASI-BD835G|40|ASP-A04-B05-P01-L,,ASP-A04-B05-P01-L|ASI-BD835G|40|ASP-A04-B04-P03-R,ASI-BD835G|40,,ASP-A04-B04-P03-R,,ASI-BD835G|40,ASI-BD835G|40,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,447,,status=RESOLVED;error=null
250,67,067_position.jpg,position,ASP-A03-B02-P01-L,,ASP-A03-B02-P01-L,ASP-A03-B02-P01-L,,ASP-A03-B02-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,238,,
251,189,189_item.jpg,item,ASI-59F8Y4|18,,ASI-59F8Y4|18,ASI-59F8Y4|18,,,,ASI-59F8Y4|18,ASI-59F8Y4|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,465,,
252,266,266_multi_mixed.jpg,multi_mixed,ASP-A05-B03-P03-R|ASI-6CDZUE|3,BAD0026,BAD0026|ASP-A05-B03-P03-R|ASI-6CDZUE|3,ASI-6CDZUE|3,,ASP-A05-B03-P03-R,,ASI-6CDZUE|3,ASI-6CDZUE|3,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,478,,status=RESOLVED;error=null
253,190,190_item.jpg,item,ASI-WGLX49|15,,ASI-WGLX49|15,ASI-WGLX49|15,,,,ASI-WGLX49|15,ASI-WGLX49|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,240,,
254,68,068_position.jpg,position,ASP-A03-B02-P01-R,,ASP-A03-B02-P01-R,ASP-A03-B02-P01-R,,ASP-A03-B02-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,244,,
255,191,191_item.jpg,item,ASI-3C7FWS|18,,ASI-3C7FWS|18,ASI-3C7FWS|18,,,,ASI-3C7FWS|18,ASI-3C7FWS|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,256,,
256,296,296_multi_false.jpg,multi_false,,POSX0091|FAKE0092|X0093,X0093|POSX0091|FAKE0092,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,535,,
257,69,069_position.jpg,position,ASP-A03-B02-P02-L,,ASP-A03-B02-P02-L,ASP-A03-B02-P02-L,,ASP-A03-B02-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,274,,
258,192,192_item.jpg,item,ASI-H3A74D|8,,ASI-H3A74D|8,ASI-H3A74D|8,,,,ASI-H3A74D|8,ASI-H3A74D|8,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,285,,
259,236,236_multi_true.jpg,multi_true,ASP-A04-B05-P01-R|ASI-6EFWKE|5|ASP-A04-B05-P02-L,,ASP-A04-B05-P02-L|ASP-A04-B05-P01-R|ASI-6EFWKE|5,ASI-6EFWKE|5,,ASP-A04-B05-P01-R,,ASI-6EFWKE|5,ASI-6EFWKE|5,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,674,,status=RESOLVED;error=null
260,193,193_item.jpg,item,ASI-Z96DPT|60,,ASI-Z96DPT|60,ASI-Z96DPT|60,,,,ASI-Z96DPT|60,ASI-Z96DPT|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,205,,
261,70,070_position.jpg,position,ASP-A03-B02-P02-R,,ASP-A03-B02-P02-R,ASP-A03-B02-P02-R,,ASP-A03-B02-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,292,,
262,194,194_item.jpg,item,ASI-JU69HB|96,,ASI-JU69HB|96,ASI-JU69HB|96,,,,ASI-JU69HB|96,ASI-JU69HB|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,269,,
263,267,267_multi_mixed.jpg,multi_mixed,ASI-27C6NW|96|ASI-8KD6GX|3,POSX0027,POSX0027|ASI-27C6NW|96|ASI-8KD6GX|3,ASI-27C6NW|96,,,,ASI-27C6NW|96;ASI-8KD6GX|3,ASI-27C6NW|96,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,425,,status=RESOLVED;error=null
264,71,071_position.jpg,position,ASP-A03-B02-P03-L,,ASP-A03-B02-P03-L,ASP-A03-B02-P03-L,,ASP-A03-B02-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,235,,
265,195,195_item.jpg,item,ASI-RLVA4F|10,,ASI-RLVA4F|10,ASI-RLVA4F|10,,,,ASI-RLVA4F|10,ASI-RLVA4F|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,577,,
266,297,297_multi_false.jpg,multi_false,,BAD0094|POSX0095|FAKE0096,FAKE0096|BAD0094|POSX0095,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,418,,
267,196,196_item.jpg,item,ASI-H7HK9U|48,,ASI-H7HK9U|48,ASI-H7HK9U|48,,,,ASI-H7HK9U|48,ASI-H7HK9U|48,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,262,,
268,72,072_position.jpg,position,ASP-A03-B02-P03-R,,ASP-A03-B02-P03-R,ASP-A03-B02-P03-R,,ASP-A03-B02-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,344,,
269,197,197_item.jpg,item,ASI-T488R7|60,,ASI-T488R7|60,ASI-T488R7|60,,,,ASI-T488R7|60,ASI-T488R7|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,267,,
270,237,237_multi_true.jpg,multi_true,ASP-A04-B05-P02-R|ASI-TW2U75|4|ASP-A04-B05-P03-L,,ASP-A04-B05-P03-L|ASP-A04-B05-P02-R|ASI-TW2U75|4,ASI-TW2U75|4,,ASP-A04-B05-P02-R,,ASI-TW2U75|4,ASI-TW2U75|4,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,419,,status=RESOLVED;error=null
271,198,198_item.jpg,item,ASI-K2NJET|30,,ASI-K2NJET|30,ASI-K2NJET|30,,,,ASI-K2NJET|30,ASI-K2NJET|30,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,262,,
272,268,268_multi_mixed.jpg,multi_mixed,ASP-A05-B04-P01-L|ASI-MCR66L|20,FAKE0028,FAKE0028|ASP-A05-B04-P01-L|ASI-MCR66L|20,ASI-MCR66L|20,,ASP-A05-B04-P01-L,,ASI-MCR66L|20,ASI-MCR66L|20,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,422,,status=RESOLVED;error=null
273,73,073_position.jpg,position,ASP-A03-B03-P01-L,,ASP-A03-B03-P01-L,ASP-A03-B03-P01-L,,ASP-A03-B03-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,541,,
274,199,199_item.jpg,item,ASI-XTAUV9|5,,ASI-XTAUV9|5,ASI-XTAUV9|5,,,,ASI-XTAUV9|5,ASI-XTAUV9|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,282,,
275,298,298_multi_false.jpg,multi_false,,X0097|BAD0098|POSX0099,POSX0099|X0097|BAD0098,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,441,,
276,74,074_position.jpg,position,ASP-A03-B03-P01-R,,ASP-A03-B03-P01-R,ASP-A03-B03-P01-R,,ASP-A03-B03-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,235,,
277,200,200_item.jpg,item,ASI-68YX27|18,,ASI-68YX27|18,ASI-68YX27|18,,,,ASI-68YX27|18,ASI-68YX27|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,229,,
278,201,201_item.jpg,item,ASI-NR2Q4C|18,,ASI-NR2Q4C|18,ASI-NR2Q4C|18,,,,ASI-NR2Q4C|18,ASI-NR2Q4C|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,540,,
279,238,238_multi_true.jpg,multi_true,ASP-A04-B05-P03-R|ASI-HP56Q4|18|ASP-A05-B01-P01-L,,ASP-A05-B01-P01-L|ASP-A04-B05-P03-R|ASI-HP56Q4|18,ASI-HP56Q4|18,,ASP-A04-B05-P03-R,,ASI-HP56Q4|18,ASI-HP56Q4|18,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,386,,status=RESOLVED;error=null
280,75,075_position.jpg,position,ASP-A03-B03-P02-L,,ASP-A03-B03-P02-L,ASP-A03-B03-P02-L,,ASP-A03-B03-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,253,,
281,202,202_item.jpg,item,ASI-822K9C|5,,ASI-822K9C|5,ASI-822K9C|5,,,,ASI-822K9C|5,ASI-822K9C|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,442,,
282,269,269_multi_mixed.jpg,multi_mixed,ASI-ZU24XD|18|ASI-EXG2US|96,X0029,X0029|ASI-ZU24XD|18|ASI-EXG2US|96,ASI-ZU24XD|18,,,,ASI-ZU24XD|18;ASI-EXG2US|96,ASI-ZU24XD|18,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,473,,status=RESOLVED;error=null
283,203,203_item.jpg,item,ASI-XG6G7A|5,,ASI-XG6G7A|5,ASI-XG6G7A|5,,,,ASI-XG6G7A|5,ASI-XG6G7A|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,351,,
284,76,076_position.jpg,position,ASP-A03-B03-P02-R,,ASP-A03-B03-P02-R,ASP-A03-B03-P02-R,,ASP-A03-B03-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,254,,
285,204,204_item.jpg,item,ASI-4KE8SX|96,,ASI-4KE8SX|96,ASI-4KE8SX|96,,,,ASI-4KE8SX|96,ASI-4KE8SX|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,257,,
286,299,299_multi_false.jpg,multi_false,,FAKE0100|X0101|BAD0102,BAD0102|FAKE0100|X0101,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,591,,
287,77,077_position.jpg,position,ASP-A03-B03-P03-L,,ASP-A03-B03-P03-L,ASP-A03-B03-P03-L,,ASP-A03-B03-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,460,,
288,205,205_item.jpg,item,ASI-3FX2W9|60,,ASI-3FX2W9|60,ASI-3FX2W9|60,,,,ASI-3FX2W9|60,ASI-3FX2W9|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,276,,
289,239,239_multi_true.jpg,multi_true,ASP-A05-B01-P01-R|ASI-734GW5|18|ASP-A05-B01-P02-L,,ASP-A05-B01-P02-L|ASP-A05-B01-P01-R|ASI-734GW5|18,ASI-734GW5|18,,ASP-A05-B01-P01-R,,ASI-734GW5|18,ASI-734GW5|18,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,432,,status=RESOLVED;error=null
290,206,206_item.jpg,item,ASI-CERUQF|30,,ASI-CERUQF|30,ASI-CERUQF|30,,,,ASI-CERUQF|30,ASI-CERUQF|30,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,358,,
291,78,078_position.jpg,position,ASP-A03-B03-P03-R,,ASP-A03-B03-P03-R,ASP-A03-B03-P03-R,,ASP-A03-B03-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,279,,
292,207,207_item.jpg,item,ASI-GG6LVB|2,,ASI-GG6LVB|2,ASI-GG6LVB|2,,,,ASI-GG6LVB|2,ASI-GG6LVB|2,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,426,,
293,270,270_multi_mixed.jpg,multi_mixed,ASP-A05-B04-P01-R|ASI-KXFKYV|24,BAD0030,BAD0030|ASI-KXFKYV|24|ASP-A05-B04-P01-R,ASI-KXFKYV|24,,ASP-A05-B04-P01-R,,ASI-KXFKYV|24,ASI-KXFKYV|24,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,400,,status=RESOLVED;error=null
294,79,079_position.jpg,position,ASP-A03-B04-P01-L,,ASP-A03-B04-P01-L,ASP-A03-B04-P01-L,,ASP-A03-B04-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,367,,
295,208,208_item.jpg,item,ASI-WDUYZ5|5,,ASI-WDUYZ5|5,ASI-WDUYZ5|5,,,,ASI-WDUYZ5|5,ASI-WDUYZ5|5,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,263,,
296,300,300_multi_false.jpg,multi_false,,POSX0103|FAKE0104|X0105,X0105|POSX0103|FAKE0104,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,482,,
